#{"t_start": 1659292634.8480103, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
69.069771,100,22242.333883
15.384818,100,22336.704236
64.564211,100,22435.854737
84.583344,100,22533.905686
74.24275,100,22628.786079
84.014851,100,22730.61582
86.921912,100,22830.744554
60.103181,100,22932.82303
79.155068,100,23034.537042
87.605726,100,23133.937378
85.457255,100,23237.627729
84.654186,100,23336.015188
71.174586,100,23434.678186
83.812726,100,23533.751996
85.410041,100,23630.055162
68.016935,100,23728.962944
78.176588,100,23826.853508
73.065843,100,23927.710647
80.637675,100,24027.035483
81.305503,100,24126.444228
-15.533636,100,24220.9711
-73.441488,100,24316.270068
77.990745,100,24421.701625
76.237189,100,24519.969204
74.69505,100,24620.960757
80.435003,100,24722.862252
84.215224,100,24823.203815
80.267013,100,24924.112123
84.396487,100,25024.887203
73.472405,100,25125.276925
85.284367,100,25228.283839
60.021024,100,25326.212442
84.302072,100,25424.903775
87.741624,100,25525.058336
83.850015,100,25624.139596
78.676611,100,25727.508207
87.95725,100,25826.39623
80.298184,100,25930.245443
74.944317,100,26037.64895
82.734102,100,26139.224412
82.757918,100,26240.063426
87.732768,100,26344.125415
82.128079,100,26448.020091
77.360618,100,26555.868749
79.147604,100,26661.914429
78.873536,100,26767.191012
75.82723,100,26867.866694
84.981665,100,26969.751954
87.44412,100,27075.190981
77.14349,100,27182.551117
81.605169,100,27288.196927
82.182593,100,27392.824157
83.303328,100,27497.187246
74.873237,100,27604.062295
87.249816,100,27713.23139
84.070307,100,27824.969653
74.471371,100,27935.214597
77.311892,100,28043.120795
84.695025,100,28148.986598
79.795147,100,28257.329678
88.362285,100,28364.521308
84.602265,100,28472.785437
72.444141,100,28581.532185
84.690308,100,28691.525269
83.913843,100,28801.263041
77.469811,100,28906.577074
75.204682,100,29016.741542
84.724243,100,29124.239438
76.643976,100,29232.53795
83.697551,100,29341.427519
85.738462,100,29451.63826
85.444927,100,29561.303289
86.91739,100,29671.229168
84.801247,100,29781.036349
